id,sentence_pt,reference_en,seamless_translation,latency_sec
common_voice_pt_19597152,Eles ouviram as pessoas andando na rua.,They heard the people walking on the street.,They heard people walking down the street.,0.5760724544525146
common_voice_pt_19597131,Todo homem é o arquiteto de seu destino.,Every man is the architect of his own fortune.,Every man is the architect of his own destiny.,0.6092519760131836
common_voice_pt_19597130,Bill decidiu que a gerência deveria saber sobre esse incidente.,Bill decided that management should know about this incident.,Bill decided that the management should know about this incident.,0.6924004554748535
common_voice_pt_19597129,Três pessoas estão do lado de fora na frente de um quadro.,Three people are outside in front of a painting.,Three people are outside in front of a painting.,0.6526823043823242
common_voice_pt_19482373,De volta para você.,Back to you.,Back to Lucy.,0.4464249610900879
common_voice_pt_19482372,O menino também ficou entristecido porque seu amigo estava em busca de seu destino.,The boy was also saddened because his friend was searching for his destiny.,The boy was also saddened because his friend was looking for his destiny.,0.9766206741333008
common_voice_pt_19482374,Eles contam suas histórias incríveis no momento em que você quer ouvi-los.,They tell their amazing stories when you want to listen to them.,They tell their incredible stories at the moment you want to hear them.,0.8802673816680908
common_voice_pt_19482375,A sensualidade dela era reprimida.,Her sensuality was repressed.,Her sensuality was repressed.,0.590613603591919
common_voice_pt_19482376,Eu vou te dizer porque eles fizeram isso.,I will tell you why they did that.,I'll tell you why they did it.,0.632565975189209
common_voice_pt_19482370,É preciso todo o tempo e energia para uma carreira.,To get a career you need all the time and energy (you have).,It takes all the time and energy for a career.,0.7246453762054443
common_voice_pt_19482369,Legal!,Nice!,I'm going home.,0.46465253829956055
common_voice_pt_19482368,"""Não diga nada?"" Fatima interrompeu.","“Don’t say anything?”, Fatima interrupted.","""Don't say anything?"" Fatima interrupted him.",0.7579336166381836
common_voice_pt_19482367,Paulo e Pedro.,Paulo and Pedro.,Paul and Peter.,0.4202454090118408
common_voice_pt_19482366,um homem está varrendo a calçada com uma vassoura,A man is sweeping the sidewalk with a broom.,A man is sweeping the sidewalk with a broom.,0.7995016574859619
common_voice_pt_19275115,O esposo dela é engenheiro.,Her husband is an engineer.,Her husband is an engineer.,0.4979848861694336
common_voice_pt_19275113,Os ciclistas pararam e estão falando sobre algo.,They cyclists have stopped and are talking about something.,The cyclists stopped and are talking about something.,0.6682157516479492
common_voice_pt_19305013,Não compartilhe suas opiniões tão prontamente porque você nunca sabe quem está ouvindo.,Don’t share your opinions so quickly because you never know who’s listening.,Don't share your opinions so quickly because you never know who's listening.,0.8938605785369873
common_voice_pt_19275111,Você poderia ter morrido depois que a paz fosse declarada.,You could have died after peace was declared.,You could have died after the peace was declared.,0.6597385406494141
common_voice_pt_19305014,Não vai funcionar depois de dez horas.,It won’t work after ten.,It wont work after ten hours.,0.6308498382568359
common_voice_pt_19305017,Meu trabalho exige muita viagem.,My work demands a lot of travel.,My work requires a lot of travel.,0.589144229888916
common_voice_pt_19305016,Um grupo de pessoas sentou-se à sombra do sol quente.,A group of people is sat in the shade of the hot sun.,A group of people sat in the shade of the hot sun.,0.7705957889556885
common_voice_pt_19305015,Uma equipe de construção trabalhando em trilhos.,A construction team is working on the tracks.,A construction team working on tracks.,0.595289945602417
common_voice_pt_19275114,Este trabalho já começou,This work has already begun.,This work has already started.,0.46652889251708984
common_voice_pt_19401520,Por que você não disse algo?,Why don’t you say something?,Why didn't you say something?,0.598153829574585
common_voice_pt_19401516,Um ex-amigo é pior que um inimigo.,An ex-friend is worst than a friend.,An ex-friend is worse than an enemy.,0.7079463005065918
common_voice_pt_19401524,Jim tornou-se chefe do conselho de projetos.,Jim became the Chief Project Advisor.,Jim became head of the project board.,0.5830538272857666
common_voice_pt_19401523,Como você se sente?,How do you feel?,How do you feel?,0.43915390968322754
common_voice_pt_19401517,Quem é Avril Lavigne?,Who is April Lavigne?,Who is Avril Lavigne?,0.5444943904876709
common_voice_pt_19401519,As estrelas são brancas.,The starts are white.,The stars are white.,0.4541299343109131
common_voice_pt_19401521,O que você faz?,What do you do?,What are you doing?,0.46648073196411133
common_voice_pt_19401518,Um esquiador faz o único caminho em uma montanha vazia.,A skier takes the only path on an empty mountain.,A skier makes the only way on an empty mountain.,0.7841649055480957
common_voice_pt_19401522,Um cão marrom e branco está saltando alto e pegando uma bola azul.,A brown and white dog is jumping high and catching a blue ball.,A brown and white dog is jumping high and catching a blue ball.,0.8522021770477295
common_voice_pt_19439000,Os presságios foram verdadeiros? afinal.,The omens were true after all.,"The omens were true, after all.",0.5333876609802246
common_voice_pt_19439006,O homem está jogando uma bola de tênis para buscar o cachorro marrom.,The man is throwing a tennis ball for a brown pup to fetch.,The man is throwing a tennis ball to get the brown dog.,0.7640080451965332
common_voice_pt_19439009,Eu gostaria que eles fossem coelhos.,I would like it if they were rabbits.,I wish they were rabbits.,0.4763224124908447
common_voice_pt_19439007,Depois de um ano de tratamento,After a year in treatment,After a year of treatment,0.45374488830566406
common_voice_pt_19439003,Um homem esfregando o chão na frente de um passeio de parque de diversões.,A man mopping the floor in front of an amusement park ride.,A man rubbing the floor in front of a amusement park promenade.,0.7937161922454834
common_voice_pt_19439004,"Não,? não vai a menos que eles tenham um escorregador inflável gigante.","No, not unless they have a giant inflatable slide.","No, unless they have a giant inflatable slide.",0.7401354312896729
common_voice_pt_19439005,É algo que alguém te deu?,Is that something that somebody gave to you?,Is it something someone gave you?,0.46445584297180176
common_voice_pt_19439001,Vamos agora falar sobre as roupas.,Let’s talk now about the clothes.,Let's talk about clothes now.,0.5694522857666016
common_voice_pt_19439002,Afinal? ele tinha todo o seu dinheiro.,In the end he had all his money.,"After all, he had all his money.",0.5768778324127197
common_voice_pt_19439008,Dois homens estão lutando enquanto outras pessoas estão assistindo,Two men are fighting while other people are watching.,Two men are fighting while other people are watching.,0.6251423358917236
common_voice_pt_19401642,Eles não gostam dos artigos que eu tenho escrito.,They don’t like the articles I’ve been writing.,They don't like the articles I've written.,0.7390599250793457
common_voice_pt_19401645,Nosso prazo está chegando rapidamente e precisaremos de ajuda.,Our deadline is approaching fast and we will need help.,Our deadline is fast approaching and we will need help.,0.7699427604675293
common_voice_pt_19401643,Ele acabou de receber uma nova pipa para o seu aniversário.,He just got a new kite for his birthday.,He just got a new pipe for his birthday.,0.6927998065948486
common_voice_pt_19401640,Adicionar uma música à minha lista de reprodução,To add a song to my playlist.,Add a song to my playlist.,0.6590731143951416
common_voice_pt_19401639,Ligue para a mãe para comprar um bilhete,Call the mother to purchase a ticket.,Call your mother to buy a ticket.,0.7030048370361328
common_voice_pt_19401638,Notificando a unidade policial,Notifying the police unit.,Notifying the police unit.,0.5856750011444092
common_voice_pt_19401644,Vire para a direita.,Turn to the right.,Turn right.,0.3923976421356201
common_voice_pt_19401641,Tem me visto em seus sonhos?,Have you been seeing me in your dreams?,Have you seen me in your dreams?,0.6452758312225342
common_voice_pt_19401637,Não há distância entre os dois bancos,There is no distance between the two benches,There is no distance between the two banks.,0.6765439510345459
common_voice_pt_19401636,O jovem filho rega as plantas,The young son waters the plants.,The young son waters the plants.,0.6713156700134277
common_voice_pt_19281594,Me passa o seu número de telefone.,Give me your phone number.,Give me your phone number.,0.6043014526367188
common_voice_pt_19281610,E um copo de leite.,And a glass of milk.,And a glass of milk.,0.5042827129364014
common_voice_pt_19281609,Mas você conhece ela?,But do you know her?,But do you know her?,0.4838218688964844
common_voice_pt_19281608,Eu sou apenas seu pequeno colecionador de aluguel.,I am just your small rental collector.,I'm just your little rent collector.,0.702038049697876
common_voice_pt_19281593,minha mãe e meu pai vem me ver,My mother and my father are coming to see me.,My mother and father come to see me.,0.6163530349731445
common_voice_pt_19281589,Havia montanhas ao longe.,There were mountains in the distance.,There were mountains in the distance.,0.6211531162261963
common_voice_pt_19281586,Tocar música.,Play music.,Playing music,0.3882274627685547
common_voice_pt_19281595,Alguém que monta uma bicicleta azul da sujeira em um curso da sujeira.,Someone who is riding a blue dirt bike on a dirt path.,Someone riding a blue dirt bike on a dirt course.,0.8591890335083008
common_voice_pt_19281606,Um menino está sentado no chão olhando para o oceano,A boy is sitting on the ground looking at the ocean.,A boy is sitting on the floor looking at the ocean.,0.7583415508270264
common_voice_pt_19281607,Clipes gravados.,Saved clips.,Recorded clips.,0.5578744411468506
common_voice_pt_19473338,Como aplicar um fundo verde?,How to apply a green background?,How to apply a green background?,0.4894742965698242
common_voice_pt_19473331,A decisão já foi tomada.,The decision has been made.,The decision has already been made.,0.4784111976623535
common_voice_pt_19473329,Eu posso ser capaz de trabalhar com isso.,I may be able to work with that.,I can be able to work with that.,0.5428731441497803
common_voice_pt_19473330,A multidão ainda está baixa,The crowd is still low.,The crowd is still low.,0.45723628997802734
common_voice_pt_19473332,Ela está feliz que ela não disparou de volta imediatamente.,She is happy she didn’t shoot back immediately.,She's glad she didn't shoot back right away.,0.7161314487457275
common_voice_pt_19473333,E peça um copo de vinho para mim.,And ask for a glass of wine for me.,And ask for a glass of wine for me.,0.5527682304382324
common_voice_pt_19473337,"Deixando-se sair da casa, ele deu um suspiro de alívio.","Letting himself out of the house, he gave a sigh of relief.","Leaving the house, he sighed with relief.",0.6700146198272705
common_voice_pt_19473336,Tudo o que eles pensam é comida e água.,All they think about is food and water.,All they think about is food and water.,0.5418846607208252
common_voice_pt_19473335,Ar congelado passou pelo casaco.,Freezing air passed through the coat.,Frozen air passed through the coat.,0.5408890247344971
common_voice_pt_19473334,Um homem com um assobio na boca está segurando uma grande bandeja de comida.,A man with a whistle in his mouth is holding a big food tray.,A man with a whistle in his mouth is holding a large tray of food.,0.8606171607971191
common_voice_pt_19876268,Três garotos loiros jogando na engenhoca de metal,Three blond boys playing in the metal gadget.,Three blond boys playing on the metal machine.,0.6363990306854248
common_voice_pt_19876264,"Eles são sinais, símbolos carregados de significado.","They are signals, symbols loaded with meaning.","They are signs, symbols loaded with meaning.",0.7138445377349854
common_voice_pt_19876266,Duas garotas fazendo uma demonstração na frente de uma platéia lá fora.,Two girls doing a demonstration in front of crowd outside.,Two girls doing a demonstration in front of an audience outside.,0.7539486885070801
common_voice_pt_19876270,Um novo filme é exibido pela primeira vez no cinema.,The new film is exhibited for the first time at the movies.,A new film is shown for the first time in the cinema.,0.7057583332061768
common_voice_pt_19876271,Uma criança pequena escuta um telemóvel.,A little kid listens to a cell phone.,A small child listens to a cell phone.,0.6472465991973877
common_voice_pt_19876265,"Uma vez cancelado, eles podem enviar outro pedido via telemática.","Once canceled, they can send another order via telematics.","Once canceled, they can send another order via telematics.",0.8078820705413818
common_voice_pt_19876272,Uma família está curtindo a água.,A family enjoying the water.,A family is enjoying the water.,0.5253715515136719
common_voice_pt_19876267,A natureza humana tem seus limites.,Human nature has its limits.,Human nature has its limits.,0.5080528259277344
common_voice_pt_19876263,Banda mariachi mexicana com o guitarrista na frente.,Mexican mariachi band with guitarist in the front.,Mexican mariachi band with guitarist in front.,0.7134008407592773
common_voice_pt_19404496,Um homem com um chapéu de cowboy está montando um cavalo que está pulando.,A man with a cowboy hat is riding a jumping horse.,A man with a cowboy hat is riding a horse that is jumping.,0.9330966472625732
common_voice_pt_19404497,As pessoas ao meu lado estão dizendo que comprar e vender é muito lucrativo.,The people next to me are saying that buying and selling is very lucrative.,The people next to me are saying that buying and selling is very lucrative.,0.9648847579956055
common_voice_pt_19404428,Nós usamos principalmente Python e Tensorflow em nossa inicialização.,We use mainly Python and Tensorflow on our startup.,We mainly use Python and TensorFlow in our initialization.,0.870689868927002
common_voice_pt_19404426,Isso parece difícil.,That seems difficult.,That seems difficult.,0.4127039909362793
common_voice_pt_19404429,"Um, menininha, pulos, corda, através, lote estacionamento",One little girl jumping rope through the parking lot.,A little girl jumps rope through a parking lot.,1.4722986221313477
common_voice_pt_19404425,"Quando o sol subiu, os homens começaram a bater no menino.","When the sun came up, the men started to hit the boy.","When the sun came up, the men started beating the boy.",0.7710146903991699
common_voice_pt_19404494,Um cara com uma câmera à moda antiga fica de lado na escada rolante.,A guy with an old fashioned camera stands at the side of the escalator.,A guy with an old fashioned camera stands next to the escalator.,0.896193265914917
common_voice_pt_19404427,O trabalho do projeto nas mãos está programado para o final do próximo ano.,The work on the project at hand is scheduled for the end of next year.,The project work in hand is scheduled for the end of next year.,0.8356406688690186
common_voice_pt_19404495,Purifique a segurança social,Purify the social security.,Purify social security,0.513725996017456
common_voice_pt_19404498,Indo para o tênis de mesa e não poderei fazer sua palestra.,I’m going to the table tennis and won’t be able to give your lecture.,I'm going to table tennis and I won't be able to give your lecture.,0.9313979148864746
common_voice_pt_19375902,uma mulher toca violão na rua,A woman is playing guitar on the street.,A woman plays the violin in the street.,0.5445094108581543
common_voice_pt_19375903,Também afeta meu humor e minha energia.,It also affects my humor and my energy.,It also affects my mood and my energy.,0.638106107711792
common_voice_pt_19375891,Eu acho que tenho um encontro.,I think I have a date.,I think I have a date.,0.5749902725219727
common_voice_pt_19375890,Um homem montando um touro em um rodeio.,A man riding a bull at a rodeo.,A man riding a bull in a rodeo.,0.6913321018218994
common_voice_pt_19375889,Tux não está sorrindo? ele só fica bem o tempo todo.,Tux is not smiling? He’s alright the whole time.,"Tux isn't smiling, he just stays well all the time.",0.897301435470581
common_voice_pt_19375887,O dinheiro faz a égua ir.,Money makes the world go round.,Money makes the donkey go.,0.5587480068206787
common_voice_pt_19375886,Eu chamei Benjamin.,I called Benjamin.,I called Benjamin.,0.5253064632415771
common_voice_pt_19375900,Sua vida e seu caminho sempre lhe proporcionaram presságios suficientes.,Your life and your path have always given you enough omens.,His life and his path have always provided him with enough omens.,0.8201041221618652
common_voice_pt_19375905,Mas antes de eu ir? eu quero te contar uma pequena história.,But before I go I want to tell you a little story.,"But before I go, I want to tell you a little story.",0.8314032554626465
common_voice_pt_19375901,O dia perfeito chegou.,The perfect day has arrived.,The perfect day has come.,0.465409517288208
common_voice_pt_19706270,Eu não sabia porque.,I didn’t know why.,I didn't know why.,0.48815226554870605
common_voice_pt_19706255,As cidades só se tornam ruínas depois de serem abandonadas.,Cities only become ruins after being abandoned.,Cities only become ruins after they're abandoned.,0.7285830974578857
common_voice_pt_19706254,Um menino está dormindo em sua tigela de jantar.,A boy is sleeping on his dinner bowl.,A boy is sleeping in his dinner bowl.,0.6878960132598877
common_voice_pt_19706269,Duas crianças com cabelo castanho no porta-malas de um carro.,Two children with brown hair in the trunk of a car.,Two children with brown hair in the trunk of a car.,0.7396533489227295
common_voice_pt_19706253,Uma bolsa pesada faz um coração leve,A heavy purse makes a light heart.,A heavy bag makes a light heart.,0.5560452938079834
common_voice_pt_19706268,Um homem em um casaco verde e preto está encostado na lata de lixo.,A man with a green and black coat is leaning on the garbage can.,A man in a green and black coat is leaning against the trash can.,0.879814863204956
common_voice_pt_19706252,As pessoas estão se dedicando à música e se divertindo muito.,People are enjoying the music and having a lot of fun.,People are dedicating themselves to music and having a lot of fun.,0.7654459476470947
common_voice_pt_19706266,Que chatice!,What a bore!,What shot is this?,0.4123873710632324
common_voice_pt_19706267,Algumas crianças brincando em um buraco cheio de bolas coloridas,Some children playing in a hole filled with colorful balls.,Some children playing in a hole full of colorful balls,0.7415857315063477
common_voice_pt_19401337,O irlandês bebeu o chá.,The Irishman drank the tea.,The Irishman drank the tea.,0.5841219425201416
common_voice_pt_19401356,A foto atrás de mim,The picture behind me.,The photo behind me.,0.45241856575012207
common_voice_pt_19401355,Paulo e Joana estão trabalhando no projeto.,Paul and Joanna are working on the project.,Paulo and Joana are working on the project.,0.676069974899292
common_voice_pt_19401340,Um homem de laranja está curvado para soldar algo no chão,A man in orange is bending to weld something on the ground.,An orange man is bent over to weld something on the floor.,0.8317224979400635
common_voice_pt_19401354,"Em setembro, colha as maçãs antes que as piadas cheguem.","In September, pick the apples before the rains arrive.","In September, harvest the apples before the jokes arrive.",0.856194019317627
common_voice_pt_19401339,Isso não é tudo.,That is not all.,That's not all.,0.5404133796691895
common_voice_pt_19401336,O edifício dos tribunais penais.,The building of the criminal courts.,The building of the criminal courts.,0.6429433822631836
common_voice_pt_19401352,Quatro olhos são melhores que dois.,Four eyes see better than two.,Four eyes are better than two.,0.6435821056365967
common_voice_pt_19401353,Você tem o discurso que eu te dei?,Do you have the speech I gave to you?,Do you have the speech I gave you?,0.6569356918334961
common_voice_pt_19401338,"Um traiçoeiro, dois pervertidos.",One bad apple can spoil the bunch.,"One traitor, two perverts.",0.7184262275695801
common_voice_pt_19403408,Os funcionários de um restaurante de sushi preparam-se para a corrida do jantar.,The employees at a sushi restaurant are preparing themselves for the dinner rush.,The employees of a sushi restaurant are preparing for the dinner run.,0.8308122158050537
common_voice_pt_19403410,O que você pode fazer?,What can you do?,What can you do?,0.45116281509399414
common_voice_pt_19403409,um monte de gente saindo,A bunch of people coming out.,A lot of people coming out.,0.5277302265167236
common_voice_pt_19403405,Os Congressistas do Brasil.,The Congressmen from Brazil.,The congressmen of Brazil.,0.6732268333435059
common_voice_pt_19403404,Quatro pessoas mais velhas estão sentadas em um banco.,Four older people are sitting on a bench.,Four older people are sitting on a bench.,0.8155264854431152
common_voice_pt_19403407,Deslize a caixa para esse espaço vazio.,Slide the box into that empty space.,Slide the box into this empty space.,0.5724215507507324
common_voice_pt_19403413,Ria e o mundo ri com você. Chore e chore sozinho.,Laugh and the world will laugh with you. Cry and you will cry alone.,"Laugh and the world laughs with you, cry and cry alone.",0.818082332611084
common_voice_pt_19403406,Quantas vezes você passa por esse pequeno ritual?,How many times do you pass through this little ritual?,How many times do you go through this little ritual?,0.6257314682006836
common_voice_pt_19403412,Você me preocupou.,You had me worried.,You worried me.,0.4126894474029541
common_voice_pt_19403411,Cloreto de Sódio é apenas sal de mesa comum.,Sodium chloride is just common table salt.,Sodium chloride is just common table salt.,0.5822618007659912
common_voice_pt_19463898,Ele trouxe seis ovelhas com ele.,He brought six sheep with him.,He brought six sheep with him.,0.5152051448822021
common_voice_pt_19458070,Outra plataforma.,Another platform.,Another platform,0.34804272651672363
common_voice_pt_19458071,Reencha um copo de graça,Refill a cup for free.,Fill a glass of grace,0.4724607467651367
common_voice_pt_19463900,Ela colocou na prateleira? e lá ficou.,She placed it on the shelf and there it stayed.,She put it on the shelf and it stayed there.,0.7030899524688721
common_voice_pt_19458069,Dois cães brincam juntos espirrando em um lago,"Two dogs play together, splashing on a lake.",Two dogs play together sneezing in a lake.,0.6894974708557129
common_voice_pt_19463901,Um homem de calças e uma camisa azul está andando nas sombras da natureza.,A man with pants and a blue shirt is walking on the shadows of nature.,A man in trousers and a blue shirt is walking in the shadows of nature.,0.9732160568237305
common_voice_pt_19463902,A maioria das pessoas leva isso bem cedo na vida.,Most people take that very early on in life.,Most people get this early in life.,0.5179870128631592
common_voice_pt_19463899,As pessoas me viram chegando e me acolheu? ele pensou.,"People saw me arriving and welcomed me, he thought.",People saw me coming and welcomed me? he thought.,0.7314794063568115
common_voice_pt_19458076,A nova loja parece ter muitas quedas de energia.,The new store seems to have many energy cuts.,The new store seems to have a lot of power outages.,0.6950428485870361
common_voice_pt_19458068,Fornecer serviço satisfatório e móvel,Supplying satisfactory and mobile service.,Providing satisfactory and mobile service,0.5278964042663574
common_voice_pt_19458067,"""Mas meu coração está agitado?"", disse o garoto.","“But is my heart racing?”, said the young boy.","""But my heart is agitated?"" said the boy.",0.7691836357116699
common_voice_pt_19284133,"Por favor, traga a mamãe de volta.","Please, bring mommy back.","Please, bring me back.",0.48012256622314453
common_voice_pt_19284137,Você não pode fazer isso,You can’t do that.,You cant do that!,0.46645641326904297
common_voice_pt_19284126,Córeia do Sul.,South Korea.,South Korea.,0.44415903091430664
common_voice_pt_19284127,Segunda de manhã às cinco horas.,Monday morning at five o’clock.,Monday morning at five o'clock.,0.6279523372650146
common_voice_pt_19284128,A internet está funcionando?,Is the internet working?,Is the Internet working?,0.5615830421447754
common_voice_pt_19284129,Ele ficou sentado olhando o céu por um longo tempo.,He sat looking at the sky for a long time.,He sat looking at the sky for a long time.,0.6782131195068359
common_voice_pt_19284130,Nós a aconselhamos a sair e tomar banho de sol,We advise you to go out and sunbathe.,We advise you to go out and take a good nap.,0.6731557846069336
common_voice_pt_19284131,Mapas de navios são diferentes daqueles para aviões.,Maps for ships are different than those for planes.,Ship maps are different from those for airplanes.,0.6723587512969971
common_voice_pt_19284132,Você foi visto no campo inimigo há três dias.,You were seen on the enemy field three days ago.,You were seen at the camp in Vigo three days ago.,0.5954611301422119
common_voice_pt_19284134,O passeio parece mais do que o habitual,The walk seems longer than usual.,The walk looks more than usual.,0.503441333770752
common_voice_pt_19284135,Ele se sentiu desconfortável com a presença do homem.,He felt uncomfortable with the man’s presence.,He felt uncomfortable with the mans presence.,0.6483604907989502
common_voice_pt_19284136,Existe uma Sra. Josué?,Is there a Mrs. Josué?,Is this how you read Joshua?,0.4849214553833008
common_voice_pt_19792612,Um homem está de pé por árvores.,A man is standing by the trees.,A man is standing by trees.,0.5383744239807129
common_voice_pt_19792605,Dois jovens? Os machos brancos estão do lado de fora perto de muitos arbustos.,Two young people? The white males are on the outside near a bunch of bushes.,Two young white males are outside near many bushes.,0.7302892208099365
common_voice_pt_19792607,Malhar no ferro enquanto está quente.,Strike while the iron is hot.,Grind the iron while it's hot.,0.5649070739746094
common_voice_pt_19740787,As hastes dos óculos altos racharam e quebraram.,The tall glasses’ frames cracked and broke.,"Of all the things he used, he used every broken piece.",0.681389331817627
common_voice_pt_19792614,Este casaco é forrado de pele.,This coat is lined in leather.,This coat is lined with feathers.,0.6640398502349854
common_voice_pt_19792603,Onde você conseguiu ele?,Where did you get him?,Where did you get him?,0.46448206901550293
common_voice_pt_19792604,Um cão preto menor que luta com um cão marrom maior em uma floresta.,A smaller black dog who is fighting with a bigger brown dog in a forest.,A smaller black dog fighting a larger brown dog in a forest.,0.7997801303863525
common_voice_pt_19740699,Somos um casal de magos financeiros.,We are a couple of financial wizards.,We are a couple from Madrid and Marseilles.,0.5773825645446777
common_voice_pt_19792606,Peixes do corte do homem em um mercado de peixes.,Man cuts fish at a fish market.,Man-cut fish in a fish market.,0.6075983047485352
common_voice_pt_19792615,Dois homens novos pintam em cores brilhantes em uma parede.,Two young men are painting a wall with shiny colors.,Two young men paint bright colors on a wall.,0.6914656162261963
common_voice_pt_19792616,Um ato de fé,An act of faith.,An act of faith,0.3889608383178711
common_voice_pt_19792617,O cientista escreveu seu papel.,The scientist wrote his paper.,The scientist wrote his paper.,0.4836289882659912
common_voice_pt_19792613,Uma pessoa andando de caiaque em uma pequena cachoeira.,A person kayaking on a small waterfall.,A person kayaking in a small waterfall.,0.6297953128814697
common_voice_pt_20023653,Uma andorinha só não faz verão.,One swallow doesn't make a summer.,A single hand doesn't make a turn.,0.6499159336090088
common_voice_pt_20023656,Você se importa se formos a algum lugar lotado?,Do you mind if we go to a crowded place?,Do you mind if we go somewhere crowded?,0.7183535099029541
common_voice_pt_20023701,É necessário procurar o ponto de equilíbrio na situação atual de um mundo globalizado.,It’s necessary to find the point balance point in the current state of a globalized world.,It is necessary to look for a point of balance in the current situation of a globalized world.,1.0441014766693115
common_voice_pt_20023704,Isso não vai acontecer Tata? Conheci você quando ainda estava feliz!,That’s not going to happen Tata? I met you while I was still happy!,"This is not going to happen, Tata? I met you when I was still happy!",0.9206924438476562
common_voice_pt_20023716,Semear em novembro e trabalhar em dezembro.,Sow in November and work in December.,Sow in November and work in December.,0.575664758682251
common_voice_pt_20023654,Para estudantes que não têm conhecimento de nenhuma língua românica.,For students that don’t possess any knowledge about romance languages.,For students who do not have knowledge of any Romance language.,0.7427489757537842
common_voice_pt_20023652,Primeiro de melhor vestido.,First in best dress.,"First of all, you better get dressed.",0.6257240772247314
common_voice_pt_20023473,Haverá uma nevasca este mês em Uganda,There will be a snowfall this month in Uganda.,There will be a snowstorm this month in the Gang.,0.7250120639801025
common_voice_pt_20023472,"""Al-Fayoum está no Egito?"", disse o árabe.","“Al-Fayoum is in Egypt?”, said the Arab?","""Al-Fayoum is in Egypt?"" said the Arab.",0.7420856952667236
common_voice_pt_20023470,Uma senhora em um maiô azul está nadando debaixo d'água.,A lady in a blue swimsuit is swimming underwater.,A lady in a blue shirt is swimming underwater.,0.7671186923980713
common_voice_pt_19401757,No dia seguinte? o menino voltou ao poço? esperando ver a menina.,"On the next day, the little boy returned to the well hoping to see the little girl.","The next day, the boy went back to the well, waiting to see the girl.",0.8703362941741943
common_voice_pt_19401752,Um grupo de crianças está competindo em um revezamento.,A group of children is competing on a rotation.,A group of children are competing in a reverse.,0.6868326663970947
common_voice_pt_19401753,Aqui é meu filho.,Here is my son.,Here is my son.,0.46647000312805176
common_voice_pt_19401754,Como você poderia pensar em tal coisa?,How could you think that?,How could you think of such a thing?,0.5590403079986572
common_voice_pt_19401755,Aposto que é um mandado para minha prisão.,I bet this is a warrant for my arrest.,I bet it's a warrant for my imprisonment.,0.6692299842834473
common_voice_pt_19401751,Você acha que você fez.,You think that you did it.,Dont you think you did?,0.5335392951965332
common_voice_pt_19401750,Pedro abraçou seu ursinho o mais forte que pôde.,Peter hugged his teddy bear as hard as he could.,Pedro embraced his teddy bear as hard as he could.,0.7725448608398438
common_voice_pt_19401749,O francês era bom de papo.,The french man was good with words.,The Frenchman was a good father.,0.5423688888549805
common_voice_pt_19401748,Você sabe que tipo de pacote foi?,Do you know what kind of package it was?,Do you know what kind of package it was?,0.6100914478302002
common_voice_pt_19401747,Use um capacete de vídeo,Use a video helmet.,Use a video helmet,0.5589404106140137
common_voice_pt_19401745,Você orou ao Senhor?,Did you pray to the Lord?,You are a peaceful man.,0.6030609607696533
common_voice_pt_19401743,O uso ilegal de software é um crime.,The illegal use of software is a crime.,Illegal use of software is a crime.,0.746870756149292
common_voice_pt_19401756,Verifique os sinais vitais.,Check the vital signs.,The Figurine of the Day,0.5300672054290771
common_voice_pt_19276313,Olá,Hello.,It's him.,0.46268272399902344
common_voice_pt_19276293,Ter um plano de longo prazo,To have a long term plan.,Have a long-term plan,0.6141369342803955
common_voice_pt_19276295,Tudo estava sincronizado,Everything was synchronized.,Here comes the synchronizer.,0.5135972499847412
common_voice_pt_19276317,Eu não caí dentro,I didn’t fall in.,I didn't fall in.,0.5346968173980713
common_voice_pt_19276316,Não é o dinheiro.,It’s not the money.,It's not the money.,0.5318102836608887
common_voice_pt_19276296,Projetor de tela.,Screen projector.,Screen projector,0.40401196479797363
common_voice_pt_19276315,Não é um pouco cheio?,Isn’t this a bit full?,Isnt it a little full?,0.5549254417419434
common_voice_pt_19276314,Eu olhei para ela.,I looked at her.,I looked at her.,0.46323156356811523
common_voice_pt_19276301,O festival de arte foi um desastre.,The art festival was a disaster.,The art festival was a disaster.,0.634774923324585
common_voice_pt_19276300,O árabe aceitou-os sem uma palavra.,The Arab accepted them without a word.,The Arab accepted them without a word.,0.6003444194793701
common_voice_pt_19276297,A alça da taça está quebrada.,The handle of the bowl is broken.,The cup holder is broken.,0.5468020439147949
common_voice_pt_19276292,Alguém pode atender o telefone?,Can someone answer the phone?,Can someone answer the phone?,0.6979491710662842
common_voice_pt_19276294,Nós não temos relação de sangue,We are not related by blood.,We are not related by blood.,0.5902953147888184
common_voice_pt_19276298,"Ela nasceu em Phoenix, Arizona.","She was born in Phoenix, Arizona.","She was born in Phoenix, Arizona.",0.6779236793518066
common_voice_pt_19401247,E quanto ao azul?,And what about the blue?,What about the blue one?,0.5531754493713379
common_voice_pt_19401223,Nada disso impressionou o menino.,None of that impressed the boy.,None of this impressed the boy.,0.5672662258148193
common_voice_pt_19401221,"E a garota apontou para o sul, indicando que lá estava o homem estranho.","And the girl pointed towards the south, indicating that the strange man was there.","And the girl pointed to the south, indicating that there was the strange man.",0.927114725112915
common_voice_pt_19401217,Comunique-se estritamente o que é necessário.,Communicate what is strictly necessary.,Communicate strictly what is necessary.,0.6381776332855225
common_voice_pt_19401216,Ele começou a chorar de repente.,He started to cry suddenly.,He started crying suddenly.,0.7837200164794922
