id,sentence_pt,reference_en,canary_translation,latency_sec
common_voice_pt_19410096,Você não pode confiar em ninguém neste mundo louco.,You can’t trust anyone in this crazy world.,You can't trust anyone in this crazy world.,0.3011932373046875
common_voice_pt_19410095,Ele será um furuto professor de História.,He will be a future History teacher.,He will be a future history teacher.,0.27551937103271484
common_voice_pt_19410094,A documentação do Keras está disponível em japonês.,The documentation for Keras is available in Japanese.,Keres' documentation is available in Japanese.,0.2879507541656494
common_voice_pt_19410093,Todo o caminho é super frio,All the track is super cold.,The whole path is super cold.,0.23363471031188965
common_voice_pt_19410092,Às vezes apenas arroz germinado,Sometimes only sprouted rice.,Sometimes just germinated rice.,0.25766682624816895
common_voice_pt_19410090,Uma criança está brincando com uma guitarra,A child is playing with a guitar.,A child is playing with a guitar.,0.27114295959472656
common_voice_pt_19410091,A neve é muito pesada e é neve.,The snow is too heavy and it’s snow.,The snow is very heavy and it is snow.,0.28362584114074707
common_voice_pt_19433677,Banquete gourmet,Gourmet banquet.,Gourmet banquet.,0.21817541122436523
common_voice_pt_19433672,Completo em tons frios,Complete in cold colors.,Complete in cold tones.,0.2482140064239502
common_voice_pt_19433678,Soa como se consolar,It sounds as how to self soothe.,It sounds like it's consummated.,0.2856624126434326
common_voice_pt_19433681,Eu disse a ele que era o que eu tinha vindo aqui para aprender.,I told him that it was what I came here to learn.,I told him that I had come here to learn.,0.2897460460662842
common_voice_pt_19433676,Crianças praticando artes marciais em um dojo? enquanto membros mais velhos observam.,Children practicing martial arts on a dojo while older members watch.,Children practicing martial arts in a dojo while older members observe.,0.4065520763397217
common_voice_pt_19433675,Nem tudo precisa ser preciso.,Not everything needs to be accurate.,Not everything has to be precise.,0.24002313613891602
common_voice_pt_19433674,O espartilho apertou sua cintura.,The corset tightened her waist.,The spartilho tightened his waist.,0.3064901828765869
common_voice_pt_19433670,Bloqueie a resposta em seu coração,Block the answer in your heart.,It's going to be a block of your heart.,0.3204078674316406
common_voice_pt_19433679,Ele queria esquecer a visão e retornar à sua meditação.,He wanted to forget the sight and return to his meditation.,He wanted to forget the vision and return to his meditation.,0.319965124130249
common_voice_pt_19433671,Ele pegou seu dinheiro e contou.,He took is money and counted it.,He took your money and told.,0.282886266708374
common_voice_pt_19433680,Na verdade entendi depois,"In fact, I understood afterwards.","Actually, I understood later.",0.3433339595794678
common_voice_pt_19433673,Como você gostaria de trabalhar para mim?,How would you like to work for me?,How would you like to work for me?,0.3618309497833252
common_voice_pt_19433682,"Leva tempo, claro.","It takes time, of course.","It takes time, of course.",0.3671751022338867
common_voice_pt_19433683,Eles encontraram duas novas covinhas.,They found two new dimples.,They found two new spiders.,0.3395092487335205
common_voice_pt_19433684,Qual foi a razão para o aumento?,What was the reason for the raise?,What was the reason for the increase?,0.3572537899017334
common_voice_pt_20021173,Três adolescentes masculinos estão jogando em um campo com pistolas de água.,Three teenage boys are playing on a field with water pistols.,Three male teenagers are playing in a field with water guns.,0.6090981960296631
common_voice_pt_20021175,A corda amarrará os sete livros de uma só vez.,The rope will tie the seven books at once.,The rope will tie the seven books at once.,0.38892364501953125
common_voice_pt_20021034,"Eu quero que meu jardim seja cheio de rosas, petúnias e flores de paixão.","I want my garden to be full of roses, petunias and passion flowers.","I want my garden to be full of roses, petunhas and flowers of passion.",0.5927917957305908
common_voice_pt_20021035,Uma pessoa muito corajosa está esquiando em uma encosta íngreme sem nuvens no céu,A very brave person is skiing on a steep slope under a cloudless sky.,A very brave person is skiing on a snowy back without clouds in the sky.,0.5376744270324707
common_voice_pt_20021036,Uma mulher envelhecida média que sorri ao costurar.,An average aged woman who smiles as she sows.,An average aged woman smiling when sewing.,0.4966111183166504
common_voice_pt_20021037,"Em janeiro, não se atrase.","In January, don’t be late.",Don't be late in January.,0.4299783706665039
common_voice_pt_20021038,"Lua avermelhada e crescente, vento forte.",A red full moon brings strong wind.,"Red and growing moon, strong wind.",0.2749347686767578
common_voice_pt_20021114,Dois homens sem camisa balançam no andaime.,Two shirtless men swing on the scaffold.,Two men without shirt swing on the scaffold.,0.29816746711730957
common_voice_pt_20021115,Um homem com um colete amarelo e calças azuis está andando pela grama seca.,A man with a yellow vest and blue pants is walking through the dry grass.,A man with a yellow jacket and blue pants is walking through the dry grass.,0.40716099739074707
common_voice_pt_20021117,Entenda o passado e tente não repetir erros no presente e no futuro.,Understand the past and try not to repeat mistakes in the present and in the future.,Understand the past and try not to repeat mistakes in the present and future.,0.41608572006225586
common_voice_pt_20021119,A dificuldade real é saber quais são esses objetos.,The real difficulty is knowing what those objects are.,The real difficulty is to know what these objects are.,0.301774263381958
common_voice_pt_20021170,Ele está na mesa.,He’s at the table.,He's on the table.,0.22567963600158691
common_voice_pt_20021171,Ele correu a meio caminho da loja de ferragens.,He ran halfway to the hardware store.,He ran halfway from the railway store.,0.28713107109069824
common_voice_pt_20021172,Dois homens colocam os braços e as pernas para o lado.,Two men put their arms and legs to the side.,Two men put their arms and legs to the side.,0.3240022659301758
common_voice_pt_19482483,Eu volto já.,I will be right back.,I'll be back soon.,0.22100567817687988
common_voice_pt_19482484,Demorou muito trabalho.,The work took too long.,It took a lot of work.,0.22382712364196777
common_voice_pt_19482482,Ele dorme de dez horas.,He sleeps for ten hours.,He sleeps for ten hours.,0.2531697750091553
common_voice_pt_19515504,"""Eu vou encontrar meu tesouro?"" Ele perguntou.",“Will I find my treasure?” He asked.,I'm going to find my treasure? he asked.,0.33410024642944336
common_voice_pt_19515505,um monte de gente na aula de educação geral,A lot of people at the general education class.,A lot of people in the general education class.,0.2792363166809082
common_voice_pt_19515506,Visão de futuro,Vision of the future.,Vision of the future.,0.20957016944885254
common_voice_pt_19482514,veio ao bar em que ele havia entrado em seu primeiro dia ali.,He came to the bar he had entered on his first day there.,He came to the bar he had entered on his first day.,0.32108163833618164
common_voice_pt_19482485,Uma senhora e sua filhinha estão de mãos dadas e andando pela calçada.,A lady and her little girl are holding hands and walking on the sidewalk.,A lady and her little daughter are handcuffed and walking on the sidewalk.,0.4238259792327881
common_voice_pt_19482510,"Eu odeio tênis, mas estou gostando desses sapatos.",I hate tennis but I’m liking these shoes.,"I hate tennis, but I like these shoes.",0.3070790767669678
common_voice_pt_19482511,O pacote foi marcado como desatualizado.,The package was marked as outdated.,The package was marked as outdated.,0.30377626419067383
common_voice_pt_19515508,A primeira parte do plano precisa mudar.,The first part of the plan needs to change.,The first part of the plan needs to be changed.,0.2873096466064453
common_voice_pt_19482515,Eu não sei há quanto tempo.,I don’t know how long.,I don't know how long.,0.22997641563415527
common_voice_pt_19482486,Apenas olhando para eles.,Just looking at them.,Just looking at them.,0.19623994827270508
common_voice_pt_19482516,Eles são gêmeos ou apenas irmãos normais?,Are they twins or just normal siblings?,They are twins or just normal brothers.,0.26770901679992676
common_voice_pt_19515507,Eu me encontrei com Aditya na festa e conversamos por horas.,I met Aditya at the party and we talked for hours.,I met Dietja at the party and we talked for hours.,0.3434295654296875
common_voice_pt_19710365,Três meninos com camisas azuis que sorriem para a foto da câmera.,Three boys in blue shirts are smiling at the camera for the photo.,Three boys with blue shirts smiling at the camera photo.,0.3694427013397217
common_voice_pt_19710318,Duas mulheres em vestidos posam em uma rua.,Two women wearing dresses are posing on a street.,Two women in dresses are standing on a street.,0.3226165771484375
common_voice_pt_19710320,"Eles almoçam juntos frequentemente, mas não falam realmente fora do escritório.",They have lunch together often but don’t really talk outside the office.,"They often have breakfast together, but they don't really talk outside the office.",0.39354681968688965
common_voice_pt_19710279,Um homem sem camisa pinta o teto.,A shirtless man paints the ceiling.,A man without a shirt paints the roof.,0.2681467533111572
common_voice_pt_19710281,Pessoas em casacos estão assistindo a um jogo.,People wearing coats are watching a game.,People in coats are watching a game.,0.27807044982910156
common_voice_pt_19710283,Uma multidão assistindo a um artista de rua e duas crianças pequenas,A crowd is watching a street artist and two small children.,A crowd watching a street artist and two small children.,0.3537933826446533
common_voice_pt_19710315,Três garotas na ginástica apontam para a balança.,Three girls in gym class are pointing at the scales.,Three girls in gymnastics point to the scale.,0.31450843811035156
common_voice_pt_19710316,Dois ciclistas estão esperando em uma zona de travessia.,Two bike riders are waiting at a crosswalk.,Two cyclists are waiting in a crossing area.,0.3081221580505371
common_voice_pt_19710371,"Ou seja, converta o Valencia em uma referência para ter em mente.","Namely, convert the Valencia into a reference you can keep in mind.","That is, I turn Valencia into a reference to keep in mind.",0.3394136428833008
common_voice_pt_19710368,Deslize a nota entre as duas folhas.,Slide the bill between the two sheets of paper.,Slide the note between the two leaves.,0.398895263671875
common_voice_pt_19710366,crianças vestidas de kimono estão andando pela rua para um festival infantil.,Children dressed in kimonos are walking on the street for a kid’s festival.,Kids dressed in kimono are walking down the street to a children's festival.,0.6059327125549316
common_voice_pt_19710317,Crianças brincando na água.,Children playing in the water.,Children playing in the water.,0.33430004119873047
common_voice_pt_19710374,Divirta-se,Have fun.,Have fun.,0.2666511535644531
common_voice_pt_19710276,Um violinista que joga atrás de uma sombra da gaiola.,A violinist who plays behind the shadow of a cage.,A violinist playing behind a cage shadow.,0.5066313743591309
common_voice_pt_19710273,Um homem passa por um clube chamado 'Gruta'.,A man passes by a club named “Cave”.,A man goes through a club called Gruta.,0.37860655784606934
common_voice_pt_19586654,O que,What.,Okay.,0.2063732147216797
common_voice_pt_19586638,Um homem apreciando o passeio em sua movimentação de quatro rodas.,A man enjoying his outing on his four wheel ride.,A man was walking on his four-wheeled move.,0.42978453636169434
common_voice_pt_19586637,Os sábios entenderão.,The wise will understand.,The scoundrels understood.,0.302898645401001
common_voice_pt_19586636,Duas crianças compartilham um balanço em um campo de jogos.,Two children share a swing on a playground.,Two children share a balance in a playground.,0.409027099609375
common_voice_pt_19586635,Um homem senta-se em uma calçada.,A man sits on a sidewalk.,A man feels like a sidewalk.,0.42310047149658203
common_voice_pt_19586615,Você pode me encontrar o romance? Alfabetização?,Can you find the novel for me? Alphabetization?,Can you find me a romance? Literacy?,0.3110322952270508
common_voice_pt_19586614,Oh? Eu sei disso!,Oh? I know that!,"Oh, the sage.",0.20939111709594727
common_voice_pt_19586613,Dois cães molhados correm para o surf ao pôr do sol.,Two wet dogs run towards the surf at sunset.,Two wet dogs run to surf and to the sun.,0.2813413143157959
common_voice_pt_19586611,Eu tenho que usar o banheiro.,I have to use the toilet.,I have to use the bathroom.,0.27033472061157227
common_voice_pt_19586653,Este homem está trabalhando na placa de circuito.,This man is working on the circuit board.,This man is working on the circuit board.,0.2788279056549072
common_voice_pt_19586640,Os jovens estão andando na rua à noite.,The young people are walking on the street at night.,They are already walking on the street at night.,0.2683281898498535
common_voice_pt_19586646,Boa mãe gera boa filha.,A good mother makes a good daughter.,A good mother generates a good daughter.,0.2974679470062256
common_voice_pt_19586647,Isso surpreendentemente primeiro; Um exame mais detalhado explica isso.,That surprisingly first; a more detailed exam will explain that.,"This is surprisingly first, a more detailed examination explains it.",0.3856947422027588
common_voice_pt_19586648,Oh? meu querido filho!,Oh? my dear son!,"Oh, my dear son.",0.20905685424804688
common_voice_pt_19586649,Um grupo de pessoas está olhando para a frente enquanto bebe copos de vinho.,A group of people is looking ahead while drinking glasses of wine.,A group of people is looking forward while drinking glasses of wine.,0.3322486877441406
common_voice_pt_19586651,Você não pode me ler?,Can’t you read me?,Can't you read me?,0.23497819900512695
common_voice_pt_19446642,Esta seção trata das advertências do método proposto.,This section handles the warnings of the suggested method.,This session deals with the warnings of the proposed method.,0.32867860794067383
common_voice_pt_19446652,Fomos todos feitos pela mesma mão? e temos a mesma alma.,We were all made by the same hand and have the same soul.,We were all made by the same hand and we have the same soul.,0.3043861389160156
common_voice_pt_19446645,Geralmente é muito perturbador ter o ponteiro seguindo onde quer que você esteja procurando.,It’s usually very disturbing to have the pointer following you wherever you are searching.,It's usually very disturbing to have the pointer following wherever you're looking.,0.4253532886505127
common_voice_pt_19446644,Esta banana tem gosto de cerejas.,This banana tastes like cherries.,This banana tastes like an orange.,0.259260892868042
common_voice_pt_19446643,Comer curry scones,To eat curry scones.,Eat meat and spoon.,0.22445106506347656
common_voice_pt_19446675,Vou dar uma bebida.,I will give a drink.,It was a waste of time.,0.22840285301208496
common_voice_pt_19446674,tal como é impresso em papel.,Such as printed on paper.,Just like it is printed on paper.,0.26392436027526855
common_voice_pt_19446672,Arthur Bernardes era mineiro.,Arthur Bernardes was born in Minas Gerais.,Arthur Bernard was a miner.,0.24736857414245605
common_voice_pt_19446671,Honesto Ahmed não convenceu os desenvolvedores.,Honest Ahmed did not convince the developers.,Honest Hamid didn't convince the developers.,0.2943258285522461
common_voice_pt_19446646,"""Você não pode simplesmente observar homens e presságios para entender a linguagem do menino?""",“Can’t you simply watch the men and the omens to understand the language of the boy?”,Can't you just observe men and birds to understand the boy's language?,0.42547178268432617
common_voice_pt_19446670,O objetivo principal era,The main goal was.,The main goal was?,0.19267892837524414
common_voice_pt_19446666,Nós nos divertimos ontem à noite.,We had fun last night.,We had a good time last night.,0.2185814380645752
common_voice_pt_19446665,Fique ligado!,Stay tuned!,Stay tuned!,0.20015716552734375
common_voice_pt_19446664,Fizeram contato de forma inesperada,They established contact in an unexpected way.,They made contact unexpectedly.,0.2552299499511719
common_voice_pt_19446662,"Não tenha medo, apenas um super-homem.","Don’t be afraid, only a superman.","Don't be afraid, just a superman.",0.3048083782196045
common_voice_pt_19446656,"A lente estava pesada em?, mas tinha um zoom incrível.",The lens was heavy but had an incredible zoom.,"Besides being heavy, it was just an incredible game.",0.3530261516571045
common_voice_pt_19446654,É tão ruim hoje.,It’s so bad nowadays.,Is it so bad today?,0.2271254062652588
common_voice_pt_19446653,Durante a licença parental,During paternity leave.,During parental leave.,0.25142693519592285
common_voice_pt_19401509,"""Talvez amanhã?"", disse o menino? se afastando.","“Maybe tomorrow?”, said the boy walking away.","Maybe tomorrow? said the boy, moving away.",0.31392621994018555
common_voice_pt_19401491,Eu colei de volta.,I glued it back.,I glued it back.,0.23043417930603027
common_voice_pt_19401508,Ele havia entendido a história que o velho rei lhe dissera.,He understood the story that the old king told him.,He had understood the story the old king told him.,0.3321394920349121
common_voice_pt_19401507,"Se até janeiro a gaivota atravessar o jardim, atire e feche a porta.","If until January the seagull crosses the garden, shoot and close the door.","If the witch crosses the garden by January, shoot and close the door.",0.41624903678894043
common_voice_pt_19401506,Nos Estados Unidos? usamos sacolas de papel para fazer compras.,In the United States we use paper bags to do our shopping.,"In the United States, we use paper bags to shop.",0.34738779067993164
common_voice_pt_19401505,Matenha aberto por cinco dias.,Keep it open for five days.,Keep it open for five days.,0.27989697456359863
common_voice_pt_19401504,Foi um grande fracasso.,It was a big failure.,It was a big failure.,0.38616228103637695
common_voice_pt_19401503,meninas brincando na neve no capô de um carro,Girls playing in the snow on the hood of a car.,Girls playing in the snow on a car hood.,0.5059025287628174
common_voice_pt_19401502,Apenas mais uma tentativa.,Just one more try.,Just one more attempt.,0.3443601131439209
common_voice_pt_19401510,"Um, grupo turistas, levando um passeio, ligado, um, carruagem puxada a cavalo",A group of tourists taking a ride on a horse-drawn carriage.,A group of tourists taking a walk connected to a horse-drawn carriage.,0.5823123455047607
common_voice_pt_19401499,Quanto tempo duraria a entrevista?,How long would the interview last?,How long would the interview last?,0.36596179008483887
common_voice_pt_19401498,muita paciência? mas os pastores sabem tudo sobre paciência.,"A lot of patience, but shepherds know everything about patience.","A lot of patience, but the pastors know everything about patience.",0.45130205154418945
common_voice_pt_19401497,Listar todas as opções válidas programadas para se tornarem obsoletas em uma versão futura.,List all the valid options which are programmed to become obsolete on a future version.,"List all valid options, programmed to become obsolete in a future version.",0.5597951412200928
common_voice_pt_19401496,Mude a vida das pessoas,Change peoples’ lives.,Change people's lives.,0.3411581516265869
common_voice_pt_19401495,Uma língua estúpida - um inimigo da cabeça.,A stupid language - an enemy of the mind.,"A stupid tongue, an enemy of the head.",0.4585151672363281
common_voice_pt_19401494,Cheia de amor e união,Filled with love and unity.,Full of love and union.,0.3775925636291504
common_voice_pt_19401493,Pedestres interagem com artistas de rua,Pedestrians interact with street artists.,Pedestrians interact with street artists.,0.31760120391845703
common_voice_pt_19401492,Um grande grupo de pessoas está sentado em um gramado assistindo algo,A big group of people is seating on a lawn watching something.,A large group of people are sitting in a grassy seat watching something.,0.3799002170562744
common_voice_pt_19587987,O barril é oleoso do óleo.,The barrel is greasy from the oil.,And he ordered the oil.,0.23690128326416016
common_voice_pt_19587982,Criança brincando em um monte de neve na rua.,A child playing with a pile of snow on the street.,Child playing on a snowstorm on the street.,0.3691132068634033
common_voice_pt_19587980,Um menino está surfando.,A boy is surfing.,A menu can be found.,0.2108602523803711
common_voice_pt_19587979,O que há de cima?,What’s up there?,What's on top?,0.20148634910583496
common_voice_pt_19587941,"Você pode arquivar esses arquivos, por favor?","Can you archive these files, please?",Can you please file these files?,0.24435043334960938
common_voice_pt_19587942,As contas foram enviadas prontamente no décimo dia do mês.,The bills were promptly sent on the tenth day of the month.,The bills were sent promptly on the tenth day of the month.,0.3694615364074707
common_voice_pt_19587983,Mulher descalça faz compra de carrinho de rua,Barefoot woman shops with a street cart.,A woman from the cause buys a cart from the village.,0.3029146194458008
common_voice_pt_19587985,um cachorro preto e branco correndo por uma rampa azul com a boca aberta.,A black and white puppy running through a blue ramp with its mouth open.,A black and white dog running on a blue ramp with its mouth open.,0.37207484245300293
common_voice_pt_19587984,Uma mulher com um boné de malha está esperando o metrô.,A woman with a knitted bonnet is waiting for the subway.,A woman with a mesh hat is waiting for the subway.,0.32837653160095215
common_voice_pt_19587940,O que você quer dizer?,What do you mean?,He gave us a dessert.,0.23397445678710938
common_voice_pt_19587943,"Não é tão ruim, suponho.","It’s not that bad, I suppose.","It's not so bad, I suppose.",0.2684805393218994
common_voice_pt_19587935,Quero reservar um restaurante dentro da mesma área do Horse Pasture.,I want to book a restaurant within the same area as the Horse Pasture.,I want to book a restaurant in the same area as Horse Pastor.,0.359039306640625
common_voice_pt_19587939,"Para começar, ambos sabemos que eu tenho.","For starters, we both know I have it.","To begin, we both know I have it.",0.24870657920837402
common_voice_pt_19587938,um jogador de futebol aponta.,A soccer player points.,A soccer player points.,0.22732949256896973
common_voice_pt_19587986,Um homem sintonizando ou mudando as cordas em sua guitarra,A man tuning or changing the strings on his guitar.,A man tune in or change the strings on his guitar.,0.3183884620666504
common_voice_pt_19587936,Um alpinista escala um penhasco enquanto outros assistem.,A mountain climber climbs a cliff while others watch.,An optimist climbs a cliff while others watch.,0.3161449432373047
common_voice_pt_19587934,Duas pessoas acabaram de fazer compras para produzir.,Two people just made purchases to produce.,Two people have just made bridges to produce.,0.29371190071105957
common_voice_pt_19587937,Dois jovens rapazes brincando com patos perto da água.,Two young men playing with ducks near the water.,Two young boys playing with ducks near the water.,0.2939448356628418
common_voice_pt_19552087,O homem com o colete vermelho está tentando andar na neve.,The man with the red vest is trying to walk in the snow.,The man with the red vest is trying to walk in the snow.,0.35482311248779297
common_voice_pt_19552086,toque algum movimento de Franky Gee,Play any movement by Franky Gee.,Play some movement of Frankie G.,0.24273109436035156
common_voice_pt_19552088,Um cão salta de um tronco de árvore.,A dog jumps from a tree trunk.,A dog jumps from a tree trunk.,0.2556424140930176
common_voice_pt_19552090,uma velha cortando o cabelo em uma rua lateral.,An old woman cutting hair on a side street.,An old woman cutting her hair on a side street.,0.29231762886047363
common_voice_pt_19552094,Um homem de calça verde-clara andando preguiçosamente por um corredor.,A man with light green pants lazily walking down a hallway.,A man in light green pants walking lazyly through a corridor.,0.37239551544189453
common_voice_pt_19552092,O peixe na água cresce.,The fish grows in the water.,The fish in the water grows.,0.24393773078918457
common_voice_pt_19552091,Uma nota para ser mantida durante todo o seu comprimento.,A note to be kept throughout its length.,A note to be kept for the entire length.,0.28719043731689453
common_voice_pt_19552077,Uma menina com um moicano azul está andando.,A girl with a blue mohawk is walking.,A girl with a blue mohawk is walking.,0.269162654876709
common_voice_pt_19552079,"Não, eu tenho um colchão solteiro e o chão do meu escritório.","No, I have a single mattress and the floor in my office.","No, I have a single mattress and the floor of my office.",0.37303876876831055
common_voice_pt_19552096,Jovens rapazes com mochilas andam pela rua passando por um grande busto de Buda,Two young men with backpacks walking down the street passing by a big statue of Buddha.,Young boys with backpacks walk through the street passing by a big Buddha bush.,0.44043874740600586
common_voice_pt_19552089,Um tamanho grande em meias é difícil de vender.,Socks in big sizes are hard to sell.,A big size in socks is hard to sell.,0.2791941165924072
common_voice_pt_19552080,Samuel escreveu em seu testamento que seus netos deveriam herdar todo o seu dinheiro.,Samuel wrote in his will that his grandchildren should inherit all his money.,Samuel wrote in his will that his grandchildren should inherit all his money.,0.3936481475830078
common_voice_pt_19552081,Uma pessoa está equilibrando um objeto em sua cabeça.,A person is balancing an object on their head.,A person is balancing the object in their head.,0.3617534637451172
common_voice_pt_19552082,Isso ilumina meu dia toda vez que olho para ele.,This lightens my day every time I look at it.,This brightens my day every time I look at him.,0.4308154582977295
common_voice_pt_19552083,Você pode assobiar por isso.,You can whistle for that.,You can get up that way.,0.3131103515625
common_voice_pt_19552085,Tocar boas músicas por The Singing Nun,Playing good songs by The Singing Nun.,Play good songs for The Sing and Nan.,0.40830183029174805
common_voice_pt_19552084,Três crianças lutam em um tapete floral.,Three kids are fighting on a floral carpet.,Three children fight on a floral carpet.,0.4368441104888916
common_voice_pt_19552093,Eles estavam me esperando em casa.,They were waiting for me at home.,They were waiting for me at home.,0.3450927734375
common_voice_pt_19552078,O romance best-seller foi lido quatro milhões de vezes.,The bestseller novel was read four million times.,The best-seller novel was read four million times.,0.4120802879333496
common_voice_pt_19338857,Os homens subiram a colina? e estavam cansados quando chegaram ao topo.,Two men walked up the hill and were tired when they got to the top.,The men went up the hill and were tired when they reached the top.,0.4911770820617676
common_voice_pt_19338860,"""Não há vinho neste país?"", disse o jovem.","“Is there no wine in this country?”, said the young man.","There wasn't one in this country, said the young man.",0.3770890235900879
common_voice_pt_19338859,Vamos com esse dinheiro!,Let’s go with that money!,Let's go with that money.,0.3449819087982178
common_voice_pt_19338906,Estou com tanta fome que eu poderia desmaiar.,I’m so hungry I could faint.,I'm so hungry that I could faint.,0.4426257610321045
common_voice_pt_19338905,Universo da Marvel.,Marvel universe.,Marvel universe.,0.3108351230621338
common_voice_pt_19338904,"""Qual é a maior mentira do mundo?"" o garoto perguntou? completamente surpreso.","“What is the biggest lie in the world?”, the boy asked, completely surprised.","What is the biggest lie in the world? Garo asked, completely surprised.",0.38302111625671387
common_voice_pt_19338903,Ele perguntou por ele.,He asked about him.,He asked about him.,0.2009899616241455
common_voice_pt_19338902,No campo das ciências.,In the field of science.,In the field of science.,0.23033881187438965
common_voice_pt_19338901,A primeira coisa do ano.,The first thing of the year.,The first thing of the year.,0.21572017669677734
common_voice_pt_19338900,Tire o Martin da cadeia!,Get Martin out of jail!,Take Martin out of jail.,0.25496697425842285
common_voice_pt_19338899,O médico removeu as luvas.,The doctor took of his gloves.,The doctor took off the gloves.,0.24082422256469727
common_voice_pt_19338898,"""Estes são os espiões?"" disse um dos homens.","“Are these the spies?”, said one of the men.","These are the spines, said one of the men.",0.26885557174682617
common_voice_pt_19338897,Pode trazer a vovó para nossa casa,You can bring grandma to our house.,You can bring your grandmother to our house.,0.2751317024230957
common_voice_pt_19338891,Eu acho que um modelo seqüencial pode resolver esse problema.,I think that a sequential model can solve this problem.,I think a sequential model can solve this problem.,0.32563304901123047
common_voice_pt_19338890,É uma doutrina fantástica,It’s a fantastic doctrine.,It's a fantastic doctrine.,0.2523939609527588
common_voice_pt_19338889,Eu disse menos depois.,I said less after.,I said less later.,0.1985492706298828
common_voice_pt_19338887,O que você acha que está fazendo?,What do you think you’re doing?,What do you think you are doing?,0.2236032485961914
common_voice_pt_19338861,"Se eu não encontrar?, eu posso sempre ir para casa.","If I don’t find it, I can always go home.","If I don't find, I can always go home.",0.3084559440612793
common_voice_pt_19338858,Não me parece.,I don’t think so.,I don't think so.,0.20574116706848145
common_voice_pt_19463007,Eles não vêem que os campos são novos e as estações mudam.,They don’t see that the fields are new and the seasons change.,They don't see that the fields are new and the seasons change.,0.35306620597839355
common_voice_pt_19462988,"""Então você sabe sobre o amor?"" o menino disse.","“So you know about love?”, the boy said.",So you know about love? the boy said.,0.26236915588378906
common_voice_pt_19462995,Esta imagem é pura arte.,This image is pure art.,This image is pure art.,0.23041772842407227
common_voice_pt_19462979,Vou sair de casa,I’m leaving home.,I'm going to leave the house.,0.2596142292022705
common_voice_pt_19462996,Lidar com a velocidade mais rápida,Dealing with the fastest speed.,Deal with the fastest speed.,0.24505352973937988
common_voice_pt_19462998,Foi o nosso dinheiro e queremos de volta.,It was our money and we want it back.,It was our money and we want it back.,0.2631034851074219
common_voice_pt_19463004,Cuidados infantis em casa,Childcare at home.,Childcare at home.,0.23702478408813477
common_voice_pt_19462980,Não discuta comigo aqui.,Don’t argue with me on this.,Don't argue with me here.,0.25634312629699707
common_voice_pt_19462981,Nova York ou Nova Iorque?,New York or New York?,New York or New York?,0.23560237884521484
common_voice_pt_19462982,Você gosta de Aprendizado de Máquina?,Do you like Machine Learning?,Do you like machine learning?,0.25922656059265137
common_voice_pt_19462983,Eu não conheço bem o deserto ainda.,"I don’t know the desert well, yet.",I don't know the desert well yet.,0.310560941696167
common_voice_pt_19462985,Mas também descuidado,But also careless.,But also careless.,0.21622228622436523
common_voice_pt_19462986,Você não tem carro.,You don’t have a car.,You don't have a car.,0.25484776496887207
common_voice_pt_19462987,Pensei se deveríamos encontrar moedas e modelos nele? e assim por diante.,I thought if we should find coins and models in it and so on.,"I thought we should find coins and models on it, and so on.",0.35185670852661133
common_voice_pt_19463005,O que você está falando?,What are you saying?,What are you talking about?,0.2526729106903076
common_voice_pt_19463006,Agora sua intuição era de que ele estava certo em vir.,"Your intuition now, is that he was right in coming.",Now his intuition was that he was right to come.,0.306537389755249
common_voice_pt_19462994,A localização do site de recrutamento é muito boa,The location of the recruiting site is very good.,The recruitment site is very good.,0.2589445114135742
common_voice_pt_19462984,Rastreamento de rostos.,Face scanning.,Factor tracking.,0.24523591995239258
common_voice_pt_19364104,"""É por isso que a alquimia existe?"", disse o garoto.","“Is that why alchemy exists?”, said the boy.","That's why alchemy exists, said the boy.",0.3177201747894287
common_voice_pt_19364067,Junte-se ao clube.,Join the club.,Together with your club.,0.22962164878845215
common_voice_pt_19364110,Não pode explicar mais claramente,You can’t explain it any clearer.,You can't explain it more clearly.,0.2840406894683838
common_voice_pt_19364111,Algumas pessoas na fazenda trabalhando e um homem puxando um carrinho.,Some people working on a ranch and a man pulling a cart.,Some people working on the farm and a man pulling a cart.,0.3823561668395996
common_voice_pt_19364112,Eles chamaram essa descoberta de obra mestre - ela era parte líquida e parte sólida.,They called this discovery a master piece - it was part liquid and part solid.,They called this discovery a masterpiece: it was a liquid and solid part.,0.5422773361206055
common_voice_pt_19364113,"Alabama, Montgomery.","Alabama, Montgomery.","Alabama, Montgomery",0.32784223556518555
common_voice_pt_19364114,Dois cães estão brincando com uma bola vermelha e branca,Two dogs are playing with a red and white ball.,Two dogs are playing with a red and white ball.,0.41573405265808105
common_voice_pt_19364116,Não me diga que você não sabia que estava carregado.,Don’t tell me you didn’t know it was loaded.,Don't tell me you didn't know you were carried.,0.42539072036743164
common_voice_pt_19364122,"""Se as coisas boas estão chegando? eles serão uma agradável surpresa?"", disse o vidente.","“If good things are coming, they will be a pleasant surprise.”, said the fortuneteller.","If the good things are coming, they will be a pleasant surprise, said the seer.",0.609041690826416
common_voice_pt_19364123,Ele tinha feito isso por anos? e sabia o horário de todos que passavam.,He had done that for years and knew the schedule for all that went by.,He had done this for years and knew the time of everyone who passed by.,0.4615168571472168
common_voice_pt_19364124,As garotas estão indo ao cinema.,The girls are going to the movies.,The girls are going to the cinema.,0.35643482208251953
